date,yoy_gdp,yoy_impgs,yoy_gpdic,yoy_pce,yoy_expgs,yoy_iputil,yoy_pceens
1959-01-01,3.389065563361296,6.939004253839114,-3.202235826356823,5.442808307276378,8.92056499884031,8.606368907848616,0.0
1959-04-01,4.671392656813033,4.935154994282092,4.388338898106591,4.403916267336623,22.138117438007427,8.018438478249182,4.405319982161887
1959-07-01,4.320276636579414,1.9575134589074792,5.058940847261725,4.835073646876965,19.453789181286176,6.385462558618707,6.452662132682408
1959-10-01,4.323785668733304,-0.2021071406456097,-0.5993146993985601,4.332194855707716,18.652241412417677,6.466574169003206,5.487110323212753
1960-01-01,0.9204420073410089,-2.412481577773523,-18.973251250432632,3.4812098896763093,10.946509214271902,4.631098385931302,4.0328034291235175
1960-04-01,1.6103492457446833,-6.293312194916535,-6.494924923219628,2.085291274839172,1.6392020710617996,3.6905938875229727,1.4766138761756786
1960-07-01,3.7606207019806472,-4.150160997034759,2.8600835784007526,3.6498638883397154,-3.260755660213915,6.475974837551988,2.2120721318559253
1960-10-01,5.566580982341089,7.76601418623558,15.645889171672067,3.3442785039469336,-0.8849332295117529,6.990616184072982,1.5989804449698137
1961-01-01,7.511043882659815,12.446911565267225,18.9192850995667,5.3694632460945435,2.4932028023554826,9.207522380155378,1.3062672658234347
1961-04-01,8.782926787517745,14.883824811725828,18.541266361058902,6.236940392493443,7.487087246637163,8.005239309970472,4.610162785813024
1961-07-01,7.658310118900262,7.319054601487583,9.30379981798602,6.622563495568721,10.667965680377185,7.601283314215563,3.5132064875239823
1961-10-01,6.133875745518773,5.626980681907931,1.4805315100069993,5.3439369529053184,3.7594850465908,7.170336151875983,5.2291072852610485
1962-01-01,4.674536906553362,5.909149312047535,0.17649943473965557,5.7815118952363385,6.181737544999782,6.919328170913803,6.571688671663501
1962-04-01,4.623655012933253,2.9248341997414617,5.448296560610825,5.5858538557881605,-3.0840338271088767,8.135422380740529,7.780959659675908
1962-07-01,4.571641900543508,4.796434068333504,6.082572329889593,4.798793019881674,12.216286108908259,6.323522228770504,3.2094169816017604
1962-10-01,6.2762321496068525,4.030129324653512,10.898752208024959,5.019392000183586,7.916740045316683,6.260808661920897,3.377940568330226
1963-01-01,7.787326318516163,6.6593755877174,14.628814896139012,5.361492185319923,16.704832506472673,5.881189876221639,-0.757775638088255
1963-04-01,7.792982978232301,7.095746546808596,10.185453047804701,7.126236064456006,13.148890438177425,7.001520506877505,4.6358446011218515
1963-07-01,7.141762709307834,5.644300142798018,5.7986377669934335,6.808796516746183,11.566920490907847,9.391348939716915,4.210052031166448
1963-10-01,6.274759690685272,5.348613350645498,-0.8041397404997417,8.286386510196571,9.058260407754279,9.001628824873185,6.8062539069922785
1964-01-01,5.494199546890805,9.233884975277169,6.237101464504953,6.211121677903677,8.548965715577863,7.799836804326302,6.517232424482446
1964-04-01,7.184854252649897,3.628034955640959,16.24606222604928,6.815086482121348,-2.1415990876881246,6.611793715291057,3.8613240894254557
1964-07-01,7.787893321214245,16.86550161222444,16.274362191424068,6.268739933756656,10.140273141217122,5.991404032913138,6.805950358665294
1964-10-01,9.19345306258448,10.843388827331317,14.679745517098242,7.9668162453434235,5.039965488812159,5.680425412099737,7.356729560942852
1965-01-01,10.580546223469865,18.836750966312835,11.144755708437186,8.758940755327785,18.559623910263824,7.731792515567498,9.539085689581857
1965-04-01,10.92556195646937,17.149587689364004,12.503038436537052,9.653734137971671,12.453185475188581,6.212486699508672,4.335808138631989
1965-07-01,9.602046394568355,12.872054862400509,8.836218354668885,8.589117566267802,7.359565011002414,7.698520690426574,6.969479584382391
1965-10-01,7.3366713654213305,16.606446612119818,4.049766575015722,6.958163946693335,5.433275261906652,8.483392575306985,6.723786197983681
1966-01-01,6.863302203627684,8.590659694556383,4.671647831878477,6.280205276797487,5.553601090395597,8.141746907057012,7.767487500403663
1966-04-01,5.906572513288932,13.979207528941668,-2.3625886346148857,5.466386425452276,14.951802755237324,6.023356009485389,5.047411038416955
1966-07-01,5.542627115566301,5.207466189193169,-3.624184146258185,5.815415900617207,8.370417880165013,4.967338627274483,6.696875503122819
1966-10-01,5.5633320243302435,2.3993478072692676,-1.7657157932944514,5.866128315764468,1.4327163401512428,3.3852263387234074,3.689229765181442
1967-01-01,7.190129749743923,8.778915242275502,6.982833824094415,7.097806959685524,0.08159978574199123,8.025603090623532,6.934194479314771
1967-04-01,8.77795289600747,17.647580160138975,6.370790189165808,8.283960130409417,9.136440988813487,7.2224969898640765,7.852086657385419
1967-07-01,10.7413878299552,18.931380409282927,11.072791028267511,9.994197255306927,11.33869508497964,9.520705271709614,5.627829209540124
1967-10-01,9.878544416839361,22.033215303165658,4.656087165046639,10.948634809473125,19.319244912095044,7.181925412486171,6.892212865759281
1968-01-01,9.102378917100744,8.364009647702368,4.318141542708414,9.862601509472727,5.690017872612149,7.177852441647993,3.0345266281208962
1968-04-01,7.715686439475177,0.36069598001497316,2.6767769975898252,8.44429320019122,-1.2208597336319529,8.930330170165947,9.091107221805764
1968-07-01,8.076383667465574,13.07666687720549,6.8611031030767275,7.571049565301001,6.641618418402656,7.492624888530594,7.3663357882353875
1968-10-01,8.637339570058181,12.484453041669502,8.855992762382058,7.911836600454058,14.846938386430228,9.385219674467132,7.950883257631472
1969-01-01,7.160465688359877,21.032488379778925,0.1697397862748562,7.824312266454597,24.829530187436905,6.040797392851049,7.651381069589083
1969-04-01,5.509472315072098,9.969880839893168,-6.724234490641203,7.595115893462348,17.36162317345898,7.63669299286505,6.898076069912168
