date,yoy_gdp,yoy_impgs,yoy_gpdic,yoy_pce,yoy_expgs,yoy_iputil
1947-01-01,0.0,0.0,0.0,0.0,0.0,0.0
1947-04-01,9.285099354075525,27.996015599397932,17.94162423942557,9.100219772987028,-8.029837062188742,13.57539229175801
1947-07-01,11.170241524575047,21.405500953820535,40.78185590744372,8.850831121005214,-23.333194248315916,11.272032848920814
1947-10-01,12.21695791600987,38.72982762331714,43.22586173249622,8.303793896541928,-22.178724785126267,11.63010064984365
1948-01-01,6.992506076255473,19.20717019824532,0.9196461238741964,6.284687809012455,-16.51427090770742,10.890481500201023
1948-04-01,1.3260537119204163,0.23979270285828136,-32.389239745725746,3.7738023248543118,3.4119066314276676,8.909198101996113
1948-07-01,-2.3506664531272468,-16.43323170283737,-38.123659635801744,2.5184596858729638,5.6623502386856845,7.987005196896611
1948-10-01,-1.1800412429449518,-9.0270294149685,-8.659055671578015,1.613310375634473,-9.704014429872887,6.552544829474062
1949-01-01,-1.608348756244181,3.6556419888729152,-6.696940330139444,2.2723225795313815,-25.482006748188923,7.5458684279171
1949-04-01,4.935038839970982,4.896966113418751,23.996164124467015,4.474003110481241,-29.972472084238714,12.253959753127361
1949-07-01,9.365849810704859,13.083155432984137,46.18960732632131,6.570272505355986,-18.433440063085737,13.559157745185937
1949-10-01,16.45383556465464,52.642955089022564,51.74143971215932,12.372200837449148,-5.206777121628109,13.556748230541936
1950-01-01,17.03821262434974,50.41259325695026,46.09672974592789,10.380122783825046,17.422430070489675,14.19614662141645
1950-04-01,17.997312524259986,55.590548253212354,-8.041412151600916,13.362753453965755,32.188455436183816,13.487780652085405
1950-07-01,14.284617905208542,16.057122991139295,-2.6410544515787127,5.188625561381583,45.56309081986922,14.061380918433901
1950-10-01,11.000850747952079,0.6426350569788788,-19.307108950378243,5.685434950876468,35.115526263040024,12.742833719084807
1951-01-01,7.678841873967174,-1.0601558003001825,2.144098306681361,1.6465302493393263,23.671652042192548,10.493314242324887
1951-04-01,6.1479216837670405,-0.04866804992277429,-9.372734727240816,5.85279074398688,6.541387209354163,8.539873250021056
1951-07-01,5.453831140624885,9.9992787288557,-1.8877641566425822,6.487913007886257,-10.715759164064256,7.769964355270701
1951-10-01,4.441319306821884,11.198125404942445,-1.4666893408436028,5.160632926926836,-21.184128189706495,9.382028623186306
1952-01-01,8.29217852321436,12.737027265164103,14.450567928649722,8.42772679902623,-15.1956171732587,9.3540517314292
1952-04-01,9.134848249631382,14.099439006185838,9.561402627617912,7.7913244685736105,-9.176368153680345,10.41712669984753
1952-07-01,9.167656989735764,12.773118291063653,9.086644270547362,8.709360621443066,-3.034367670811326,11.321903159626453
1952-10-01,3.5815816239130647,2.085807547105027,-4.635850344615738,3.763427310338752,2.426204753335659,9.083018725505953
1953-01-01,1.1090788422102054,2.0677390618826488,-3.037993679089415,2.7591577120782156,2.11974974123139,9.411506437715797
1953-04-01,-0.9914898573272913,-8.76675464416946,-12.375719426224748,1.5732394684690818,-3.453362116424006,8.407068604981754
1953-07-01,1.2106010971289325,10.96218055479826,-3.4493826252594744,4.541728806564172,3.6820900322830568,6.870396945817671
1953-10-01,3.50242981757809,1.8134062687937451,6.476889233117515,4.211910744074123,10.156447521938176,8.984210559464636
1954-01-01,6.865098265081545,7.010829233410332,11.721388011496733,6.952468880722238,17.940042964396604,10.50463746935595
1954-04-01,9.274562702276288,5.798420180654808,22.612029089403517,6.120628593839268,14.507491563694177,10.047538077282141
1954-07-01,10.287555071203682,9.597698523609344,25.95312659093282,7.987300681698518,6.695834359127787,11.67975526585497
1954-10-01,9.515166310411674,11.775417561925874,16.704716934963038,8.343109517847475,10.57018301179957,11.055477426788997
1955-01-01,6.9556517412363394,14.948730041029346,9.271162506784728,6.634450560732946,6.048081892855931,11.571330571659319
1955-04-01,4.314257802766917,14.427529768209062,-4.704378193045633,5.146446455736158,14.687735941053141,10.585095723935929
1955-07-01,4.535522939988849,7.123607511572242,-0.018159308556701004,3.86896583218034,17.76097806359565,11.400439002911813
1955-10-01,5.069528681972035,7.4599089821964295,-2.208027998883768,4.6194712229454105,18.688846746434436,7.322849179287388
1956-01-01,6.5827982224718085,-2.3006850985036875,2.3289547723809676,5.706730777345494,22.45322355136058,6.018845173631179
1956-04-01,7.1623025759619985,9.919161945179528,0.4867068142733526,6.316666702235235,25.854967620418744,6.781186212868541
1956-07-01,5.913429887053717,5.09364788809161,0.31447318373120936,5.737614436802167,14.298554966732663,7.789394348892429
1956-10-01,5.077918891071645,5.206987334114952,0.9552199857780885,5.268421584310139,3.640841296626599,8.721920175750853
1957-01-01,1.878065781434285,0.06363735666664105,-5.724207125169449,4.6127827829935555,-10.77097871049391,7.7229396652074875
1957-04-01,-1.2277335746379463,0.3509831416968594,-14.34771372216162,3.267832455490556,-11.057596492961451,6.858165187379817
1957-07-01,-0.7843816002013477,0.8048191724597209,-16.15175516294,2.379641735748502,-14.029229653570214,4.585687276733639
1957-10-01,3.8974173668822285,1.0523675451768237,-1.4243419810708282,4.159343167053634,-9.506473369379265,6.657774663701315
1958-01-01,8.909064575720263,11.261056293687423,16.248004559563864,5.534783389811161,1.0293941932012185,7.226563651378206
1958-04-01,10.663528006204272,11.965649647410077,26.51765281550159,6.990430749541101,9.507273290993817,10.28150467470311
1958-07-01,10.540581029793106,12.737873197647792,31.368282396881504,7.823296696778997,10.321221752135171,10.320376772300323
1958-10-01,6.552417652159292,13.749745537585895,6.622519932228586,7.904207439548724,19.592282945439592,9.996563120204538
