date,yoy_gdp,yoy_impgs,yoy_gpdic,yoy_pce,yoy_expgs,yoy_iputil,yoy_pceens,yoy_ipman,yoy_chemical_goods
1972-01-01,11.391524850340208,10.887491935534818,14.816079227888764,10.734461181191971,14.071560246534176,6.577053855834736,14.467772911932443,0.0,0.0
1972-04-01,11.454290136003495,27.943851829396998,12.128170322480694,11.147666684285515,35.06031727933842,6.006220333705839,12.627390825767842,10.956314739643396,9.909381203606952
1972-07-01,11.836208024425417,25.098468242045406,13.838697930232756,10.60379107622278,34.2963149578316,8.677898162720075,13.662781366278544,9.471815126860399,9.202864711616542
1972-10-01,9.138911626432153,13.892793640291396,2.0065942441503264,9.387069334246597,32.45829969248508,5.6123613126902905,10.756991613373296,8.933096569969695,9.047805977398117
1973-01-01,10.302477198339835,23.62995972040385,8.47607808566233,8.50907911952906,38.05478945077908,3.3357701623872837,13.394894323779251,6.713935729826471,9.568348923857815
1973-04-01,7.353754956283318,28.642333059129978,-3.3865218498417193,8.178112300543784,34.62266023979014,0.13111266716500847,15.361808868694025,2.222646732865564,7.80333556992878
1973-07-01,8.155840407705943,43.92275430770147,-4.595481151271075,9.090992099780726,33.62098421158496,0.3674086644437032,27.387851795364714,1.2183802565070223,6.154959481918035
1973-10-01,7.460183880435015,43.70008826156341,-12.34090513083482,10.874699720921685,20.437342379721926,0.841002124196714,26.191195482830935,0.821672196960554,4.644415986671699
1974-01-01,10.931768263426338,30.36978060686526,1.2324234089456922,10.732756940965007,26.72103952701357,6.171357360072951,23.074790634950173,-5.364278220800094,-5.647304150240429
1974-04-01,8.163575871537846,-1.9273919131130928,-17.157055325720442,9.478700990456563,13.451210964832244,2.8368836987565644,11.641678113037022,-13.821975619468285,-15.608984880035198
1974-07-01,7.643117670748845,-13.549723216143542,-20.73777237426487,9.223749082362696,12.641267761070504,2.246075909963457,10.324181321544263,-14.377447799095734,-16.893110352783587
1974-10-01,9.399579298142633,-8.985976542607796,-10.749973051592566,11.431403136607763,-3.8039455075994013,2.875234269651436,14.351905211324352,-6.755911850151776,-6.899214448420453
1975-01-01,11.895365837605986,16.208685996787743,5.789251811997575,11.968082865790253,10.82618306002211,4.108444483633267,10.942575437640992,1.8545024286513776,4.618610770368093
1975-04-01,13.270763399701444,22.554637889801153,23.77077573656559,12.424814006649743,6.22988536844585,2.716777277355209,12.687920662848768,11.773020901189208,15.057159868572626
1975-07-01,10.854717354279302,29.36872603231722,22.546017229828248,10.901858470413792,13.268007520345636,2.128590275473388,7.20758780632116,11.624185908841826,15.147458212902865
1975-10-01,9.917440374438064,30.386407331648716,16.006018854729305,10.00678122254499,13.85611798347547,5.155035652176399,12.227961643595012,9.504646884196205,11.625800174065738
1976-01-01,8.555441308475151,27.379090184272187,-0.47248568531774815,10.161781761083317,16.311397090731134,5.965792019683403,17.21754918994684,4.6266207869096805,6.705117669180754
1976-04-01,9.762542199712678,20.691238931861413,2.892798277040251,11.394271632634203,10.685813907219474,5.655050538430574,19.018880643538,5.704754455845828,6.523026768959021
1976-07-01,11.451446072026854,21.881640275815833,14.561161262275082,11.504394736467946,8.728210241463445,5.93765369579093,12.420282049651478,9.21254162495204,9.793156810361507
1976-10-01,13.029067510088977,16.892893174201113,20.821722898719134,10.165820456439537,11.95185367079883,1.035044827006626,9.467198185923388,8.305878187987352,7.342908156576289
1977-01-01,11.112621813480494,11.670546951836451,9.841343503589968,10.619768052753546,4.878744614461977,0.09820071392838603,6.663596723060261,5.740571307635923,3.811783582049682
1977-04-01,9.841331949372494,17.43665429381125,7.93536315369648,10.823058844216174,4.470793871513674,4.927304512537877,13.993061357159235,4.046999545615434,1.5729378841865373
1977-07-01,13.165449780189983,18.05559746356727,11.454619964926906,12.61660940916084,16.35702589720977,1.3001276696010364,10.357959616268316,7.467595884871393,8.243084413598542
1977-10-01,13.729461421543105,20.15662903394515,11.394090390044024,11.579150424931017,27.174116778420274,2.8788308862284864,6.757054356979782,4.960530522828853,6.583984928618515
1978-01-01,14.720282541595953,13.248885851648222,9.357564189764842,12.441077202068671,29.73090618358601,1.979337184969017,8.312730489271264,5.626571091885445,4.222533298721763
1978-04-01,11.938285158649158,9.171959141050827,8.647034702844127,10.359854339342132,19.905062399776654,6.423854168188484,13.998982914674945,4.759624655795626,1.8930379260802406
1978-07-01,11.02057763064364,17.992895299103182,6.303750479875353,10.941899889522267,15.905824624492375,3.333125113453604,21.385750680419346,3.5856133531348604,2.679610416138021
1978-10-01,10.511187989894733,21.242244751245146,-0.9449651785279511,11.64886023987676,17.085926918446557,1.525618993364334,30.129722563622437,1.3284380814294074,0.7904121012237253
1979-01-01,10.454178069026947,31.22373755105707,0.5907379706955171,12.278350001471294,22.711577335253658,-0.5813448448211769,27.51263597336406,0.57525887767727,0.6619430023038002
1979-04-01,10.888738085026645,31.487522401703764,-0.3417703824467413,12.146855574205208,30.504749530861876,-1.3130923762374271,30.892559184353274,1.271628958184075,-1.582482445414184
1979-07-01,7.249861873893469,16.68670794743297,-10.202776340053152,8.84310936731756,22.82279073568742,1.5351798485717025,24.64249941869679,-6.013515624326151,-7.544918957206824
1979-10-01,7.088490775543328,2.430302535854283,-16.213955954115555,9.221045591096024,14.376687909011533,4.78495838018632,17.312676360830782,-6.949517469441082,-8.825700782854469
1980-01-01,9.88962910518757,3.8932240692296425,-3.168453814752673,10.264895624309142,11.998666635535539,2.7744869992499237,11.04418479300281,-1.680641308119029,-0.30556423643924013
1980-04-01,15.73896789408531,13.053550782904475,15.163669121296122,13.492825758855536,15.963412641213099,2.9286866547633936,10.135564771332465,2.8788644689100433,5.595577749939519
1980-07-01,13.892983410578761,17.461511405088096,13.671440517539349,11.916045552673163,10.936730773325362,2.3848516846250933,15.186342208921905,6.192097097430499,8.146502620635905
1980-10-01,12.50069662929394,8.35867583050374,13.942609912500778,10.244393415508258,5.257079369232861,-0.4579922701691598,11.89025388786489,3.628361520323022,3.331328848743138
1981-01-01,7.2283943690761525,7.534604401783961,0.578548440941983,7.421981616111111,2.213724262255988,3.180532586370176,11.279723813911557,-2.941317707312391,-6.768099900632322
1981-04-01,5.386922467827434,-1.8912392257024293,-13.642073531317525,7.232768024170411,0.6624882922107371,-1.0855823506155915,6.707604526041391,-6.183500405576581,-8.417114936736528
1981-07-01,4.1311489698507735,-2.6557682308165447,-18.294065137670444,6.959342368287251,-1.2467903371579312,-3.3733443254141875,2.903697177789746,-6.647913096467537,-8.321451137087163
1981-10-01,5.272041414164358,3.996814032110983,-6.481395015496752,8.368854612570923,-3.5371947935915284,-3.650642173066595,4.292758840908026,-3.6833491932291853,-2.839258215952704
1982-01-01,6.011749796997389,-2.2096985899334767,-7.208196618583189,9.236251618234926,-8.739013763250579,-2.253024261168406,4.205286568167327,-4.866178834591582,-1.9034560897656894
1982-04-01,6.4122749427589145,0.5366963085274552,-6.594050694658274,9.068818019454167,-6.15844451547917,-4.363277097457969,1.543944921377232,-1.2949251999536342,2.5940649420192203
1982-07-01,9.47195497115244,6.7150013287676265,6.701450202569295,10.827741448445401,-1.4415093260916647,-0.5148300027934565,6.669727026980183,3.574229886093383,6.984992504133358
1982-10-01,11.387505220749423,20.3188398407697,21.545821163696306,11.18772949030809,7.505849074882921,4.855383624252733,8.19677292159807,11.03593671271998,12.43364445987828
1983-01-01,11.899131367949153,26.993323337958053,29.51407826082506,11.373944389332317,10.748305038630663,6.667344553101876,12.023136710544424,12.272461034329687,10.527418588460067
1983-04-01,10.662947821103833,23.306554946049076,28.449474312543188,8.685335480492135,9.665072330494892,8.657576788712511,5.14931063625523,10.75155352459834,6.354744926698484
1983-07-01,11.069796490148274,19.454366880786765,23.44650752457939,9.551350835564744,10.117033291978835,6.251545293110399,3.311297462003405,8.230388531649046,2.141690330853301
1983-10-01,10.117873730406556,14.118174867250232,14.208731333749524,8.698263794625802,6.979326269381879,1.0030412320102584,0.45757850224585794,6.477659067479342,1.8876235554298644
1984-01-01,8.675632002106097,8.021396991500017,4.338564286787248,8.173800479836983,7.499623717594334,-2.6301588694810616,3.2017223540721216,3.714434361904469,-0.26516618507790346
1984-04-01,7.587679927912493,-0.7214110927732902,0.06957447436320363,8.532255286753799,2.8885376970969148,0.8396849496816077,4.080618309960137,2.06213914373465,-1.0345037559569814
1984-07-01,7.586930260564151,3.077794464875546,1.5814124653813388,9.336282667345541,-2.7697205888323584,1.4377703325001088,2.3411158464555286,1.2796896340544208,1.237813231124475
